date,price,bedrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,bathroomsx4,floorsx2
26,550000.0,4,1660,34848,0,0,1,5,930,730,1933,1933,98052,47.6621,-122.132,2160,11467,4,2
242,640000.0,4,2360,6000,0,0,4,8,2360,0,1904,1904,98107,47.6702,-122.36200000000001,1730,4700,8,4
287,240000.0,4,1220,8075,0,0,2,7,890,330,1969,1969,98001,47.3341,-122.28200000000001,1290,7800,4,2
49,605000.0,4,2620,7553,0,0,3,8,2620,0,1996,1996,98056,47.5301,-122.18,2620,11884,10,4
74,625000.0,4,2570,5520,0,0,3,9,2570,0,2000,2000,98074,47.6145,-122.027,2470,5669,10,4
101,775000.0,4,4220,24186,0,0,3,8,2600,1620,1984,1984,98166,47.445,-122.34700000000001,2410,30617,9,2
66,861990.0,5,3595,5639,0,0,3,9,3595,0,2014,2014,98053,47.6848,-122.016,3625,5639,11,4
179,685000.0,3,1570,2280,0,0,3,7,1570,0,1922,1922,98119,47.6413,-122.36399999999999,1580,2640,4,4
88,309000.0,3,1280,9656,0,0,4,6,920,360,1959,1959,98058,47.4485,-122.175,1340,8808,4,2
77,488000.0,3,3160,13603,0,0,3,8,3160,0,2003,2003,98019,47.7443,-121.977,3050,9232,10,4
327,210490.0,3,990,8528,0,0,3,6,990,0,1966,1966,98023,47.3066,-122.37100000000001,1228,8840,4,2
75,785000.0,4,2290,13416,0,0,4,9,2290,0,1981,1981,98007,47.6194,-122.15100000000001,2680,13685,10,4
361,450000.0,3,1250,5963,0,0,4,7,1250,0,1953,1953,98115,47.6796,-122.301,970,5100,7,2
313,1350000.0,3,2753,65005,1,2,5,9,2165,588,1953,1953,98070,47.4041,-122.45100000000001,2680,72513,10,2
137,228000.0,3,1190,9199,0,0,3,7,1190,0,1955,1955,98148,47.4258,-122.322,1190,9364,4,2
291,345000.0,5,3150,9134,0,0,4,8,1640,1510,1966,1966,98056,47.4934,-122.189,1990,9133,10,2
243,600000.0,3,1410,4080,0,0,4,7,1000,410,1950,1950,98117,47.6808,-122.384,1410,4080,7,2
279,585000.0,2,1980,8550,0,0,3,7,990,990,1981,1981,98117,47.6989,-122.369,1480,6738,7,2
305,920000.0,5,2730,6000,0,0,3,8,2130,600,1927,1927,98105,47.6571,-122.281,2730,6000,9,3
10,885000.0,4,2830,5000,0,0,3,9,2830,0,1995,1995,98105,47.6597,-122.29,1950,5000,10,4
109,292500.0,4,2250,4495,0,0,3,7,2250,0,2008,2008,98042,47.3663,-122.11399999999999,2250,4500,10,4
340,301000.0,3,2420,4750,0,0,3,8,2420,0,2003,2003,98042,47.3663,-122.12200000000001,2690,4750,10,4
117,951000.0,5,3250,14342,0,4,4,8,3250,0,1968,1968,98008,47.588,-122.116,2960,11044,13,4
297,430000.0,4,1850,9976,0,0,3,8,1850,0,1991,1991,98059,47.5059,-122.149,2270,8542,12,4
222,650000.0,3,2150,21235,0,3,4,8,1590,560,1959,1959,98166,47.4336,-122.339,2570,18900,9,2
118,289000.0,3,1260,8400,0,0,3,7,1260,0,1954,1954,98148,47.4366,-122.335,1290,8750,7,2
172,505000.0,3,2519,8690,0,0,5,8,2519,0,1973,1973,98166,47.4428,-122.344,2500,9500,7,4
219,549000.0,3,1540,1044,0,0,3,8,1540,0,2014,2014,98115,47.6765,-122.32,1580,3090,7,6
32,425000.0,3,1660,6000,0,0,3,7,1110,550,1979,1979,98122,47.6113,-122.29700000000001,1440,4080,9,2
202,317625.0,3,2770,3809,0,0,5,7,1770,1000,1925,1925,98144,47.5747,-122.304,1440,4000,11,3
130,975000.0,4,2720,11049,0,0,3,10,2720,0,1989,1989,98004,47.5815,-122.19200000000001,2750,11049,10,4
160,287000.0,4,2240,4648,0,0,3,7,2240,0,2005,2005,98001,47.3378,-122.257,2221,4557,10,4
115,204000.0,3,1000,12070,0,0,4,7,1000,0,1968,1968,98042,47.3621,-122.11,1010,12635,4,2
41,1330000.0,5,3200,20158,0,0,3,8,1600,1600,1965,1965,98004,47.6303,-122.215,3390,20158,9,2
133,1040000.0,5,4770,50094,0,0,4,11,3070,1700,1973,1973,98005,47.6525,-122.16,3530,38917,13,2
248,325000.0,3,1260,5612,0,0,4,7,1260,0,1972,1972,98034,47.7362,-122.179,1640,4745,8,2
39,571000.0,4,2750,7807,0,0,5,7,2250,500,1916,1916,98125,47.7168,-122.287,1510,7807,8,3
69,360000.0,4,2380,5000,0,0,3,8,2380,0,2005,2005,98038,47.3608,-122.036,2420,5000,10,4
318,349000.0,3,1790,50529,0,0,5,7,1090,700,1965,1965,98042,47.3511,-122.073,1940,50529,7,2
187,832500.0,4,3430,35102,0,0,4,10,2390,1040,1986,1986,98075,47.5822,-121.98700000000001,3240,35020,16,4
164,380000.0,4,1760,7300,0,0,3,7,880,880,1956,1956,98008,47.6034,-122.125,1680,7500,7,2
353,480000.0,3,1040,5060,0,0,3,7,1040,0,1941,1941,98116,47.5636,-122.39399999999999,890,5060,4,2
38,410000.0,3,1410,5060,0,0,4,7,910,500,1956,1956,98133,47.7073,-122.34,1130,5693,4,2
325,720000.0,4,3450,39683,0,0,3,10,3450,0,2002,2002,98010,47.342,-122.025,3350,39750,10,4
214,390000.0,3,2350,5100,0,0,3,8,2350,0,2003,2003,98038,47.3512,-122.008,2350,5363,10,4
234,360000.0,4,1900,5889,0,0,3,7,1900,0,1992,1992,98038,47.349,-122.031,1870,6405,10,4
179,355000.0,2,2020,6720,0,0,3,7,1010,1010,1948,1948,98118,47.5474,-122.291,1720,6720,4,2
271,356000.0,3,1680,8712,0,0,3,8,1680,0,1964,1964,98059,47.4811,-122.149,1850,8797,6,2
31,315000.0,3,960,6634,0,0,3,6,960,0,1952,1952,98125,47.7264,-122.31,1570,7203,4,2
196,940000.0,3,2140,3600,0,0,3,9,1900,240,1925,1925,98119,47.6337,-122.365,2020,4800,6,4
185,305000.0,5,2660,8400,0,0,5,7,2660,0,1961,1961,98092,47.2909,-122.189,1590,8165,9,3
47,461000.0,3,2770,6278,0,0,3,9,1980,790,2006,2006,98056,47.5228,-122.199,1900,7349,13,4
17,215000.0,2,1610,2040,0,0,4,7,1610,0,1979,1979,98056,47.518,-122.194,1950,2025,9,4
125,335000.0,2,1030,1066,0,0,3,7,765,265,2006,2006,98136,47.5394,-122.387,1030,1106,7,4
20,243500.0,4,1980,7403,0,0,3,7,1980,0,1988,1988,98023,47.2897,-122.37200000000001,1980,7510,10,4
313,1100000.0,5,3520,6353,0,0,4,10,3520,0,2001,2001,98199,47.6506,-122.391,2520,6250,11,4
300,153000.0,3,1200,10500,0,0,3,7,1200,0,1962,1962,98023,47.321999999999996,-122.351,1350,10500,4,2
84,430000.0,3,1580,5000,0,0,3,8,1290,290,1939,1939,98117,47.687,-122.38600000000001,1570,4500,6,2
235,700000.0,3,1580,5000,0,0,3,8,1290,290,1939,1939,98117,47.687,-122.38600000000001,1570,4500,6,2
129,905000.0,4,3300,10250,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,10,2
332,247500.0,3,1960,15681,0,0,3,7,1960,0,1967,1967,98032,47.3576,-122.277,1750,15616,7,2
133,199000.0,4,1160,6400,0,0,4,7,1160,0,1975,1975,98023,47.3036,-122.37799999999999,1160,6400,6,2
14,437500.0,3,2320,36847,0,2,3,9,2320,0,1992,1992,98045,47.4838,-121.714,2550,35065,10,4
40,850830.0,3,2070,13241,0,0,5,9,1270,800,1910,1910,98102,47.6415,-122.315,2200,4500,10,3
178,555000.0,3,1980,3478,0,0,4,7,1440,540,1929,1929,98117,47.6775,-122.37200000000001,1610,3478,8,3
224,699950.0,3,2190,107593,0,0,4,8,2190,0,1983,1983,98077,47.7731,-122.08,2570,47777,9,4
158,1090000.0,3,2920,8113,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,10,4
145,290000.0,3,1210,33919,0,0,3,7,1210,0,1954,1954,98058,47.4375,-122.184,1640,14910,4,2
335,375000.0,3,2340,10005,0,0,4,8,1460,880,1978,1978,98058,47.4431,-122.133,2250,8162,10,2
21,460000.0,3,1670,4005,0,0,4,7,1170,500,1939,1939,98117,47.6878,-122.38,1240,4005,4,3
82,188500.0,2,1240,2493,0,0,4,8,1240,0,1985,1985,98198,47.3813,-122.322,1270,4966,7,2
307,680000.0,4,3140,28037,0,0,4,10,3140,0,1991,1991,98077,47.7304,-122.08200000000001,2990,35001,10,4
117,470000.0,5,2030,12342,0,0,4,7,2030,0,1942,1942,98052,47.6417,-122.109,2500,9433,7,4
84,597750.0,4,2310,9624,0,0,3,8,2310,0,1984,1984,98027,47.5386,-122.053,1940,9636,10,4
306,570000.0,3,1260,3328,0,0,5,6,700,560,1905,1905,98103,47.6823,-122.34899999999999,1380,3536,7,2
137,272500.0,3,1540,12600,0,0,4,7,1160,0,1980,1980,98038,47.3624,-122.031,1540,11656,7,2
206,329950.0,3,2080,5969,0,2,3,7,1080,1000,1971,1971,98108,47.5474,-122.295,2090,5500,7,2
179,480000.0,4,3230,16171,0,0,3,9,2520,710,2001,2001,98001,47.3183,-122.25299999999999,2640,8517,10,4
203,740500.0,3,4380,6350,0,0,3,8,2780,0,1900,1900,98117,47.6981,-122.368,1830,6350,14,4
55,518500.0,3,1590,1102,0,0,3,8,1590,0,2010,2010,98103,47.6824,-122.34700000000001,1620,3166,14,6
52,205425.0,2,880,6780,0,0,4,6,880,0,1945,1945,98178,47.5009,-122.24799999999999,1190,6780,4,2
251,171800.0,4,1570,9600,0,0,3,6,1570,0,1950,1950,98168,47.4965,-122.303,1880,9000,8,2
374,535000.0,4,1610,2982,0,0,4,7,1610,0,1925,1925,98144,47.586999999999996,-122.294,1610,4040,4,3
245,660000.0,3,2400,6474,0,2,3,8,1560,840,1964,1964,98177,47.7728,-122.38600000000001,2340,10856,10,2
201,391500.0,3,1450,9132,0,0,3,7,1450,0,1987,1987,98034,47.7288,-122.226,1580,9104,8,2
339,395000.0,2,770,6000,0,0,3,6,770,0,1953,1953,98117,47.6999,-122.36399999999999,1710,6000,4,2
186,445000.0,4,2100,4400,0,0,5,7,1720,380,1924,1924,98118,47.5299,-122.266,1850,4400,7,3
47,770000.0,3,2910,10204,0,0,3,9,2910,0,1990,1990,98052,47.6897,-122.098,2700,13992,9,4
304,1450000.0,4,2750,17789,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,11,3
76,445000.0,3,2100,8201,0,2,3,8,1620,480,1967,1967,98178,47.5091,-122.244,2660,8712,9,2
76,260000.0,4,2160,8811,0,0,3,8,1360,800,1978,1978,98023,47.3129,-122.39,2090,8400,9,2
42,822500.0,5,2320,4960,0,0,5,7,1720,600,1926,1926,98103,47.6763,-122.352,1700,4960,14,4
339,430000.0,4,2070,4310,0,0,3,7,2070,0,2004,2004,98065,47.5319,-121.85,1970,3748,10,4
248,212000.0,3,1060,7875,0,0,4,7,1060,0,1986,1986,98092,47.2761,-122.152,1420,7680,7,2
361,660500.0,4,2010,9603,0,0,3,8,1440,570,1986,1986,98027,47.5343,-122.054,2060,9793,9,2
41,784000.0,3,3950,111078,0,0,3,9,2460,1490,1989,1989,98052,47.696999999999996,-122.072,2480,88500,14,3
10,453246.0,3,2010,2287,0,0,3,8,1390,620,2014,2014,98029,47.5517,-121.99799999999999,1690,1662,10,4
269,675000.0,4,2140,2278,0,0,3,9,2140,0,2005,2005,98107,47.6734,-122.38,1540,2285,14,6
103,199000.0,3,1320,17390,0,0,4,7,1320,0,1956,1956,98003,47.3257,-122.296,1550,19265,7,2
95,220000.0,4,2020,7840,0,0,3,7,1010,1010,1968,1968,98003,47.3309,-122.29899999999999,1750,8140,7,2
27,452000.0,4,2590,10002,0,0,4,8,1340,1250,1968,1968,98028,47.7689,-122.266,1550,10436,9,2
66,382500.0,2,1190,4440,0,0,3,6,1190,0,1981,1981,98125,47.7135,-122.287,1060,5715,4,2
5,519950.0,3,1170,1249,0,0,3,8,1170,0,2014,2014,98107,47.6722,-122.381,1350,1310,9,6
56,665000.0,2,1110,3200,0,0,3,7,1110,0,1925,1925,98119,47.6338,-122.35799999999999,1170,3600,4,2
67,527700.0,5,2820,9375,0,0,4,8,1550,1270,1968,1968,98006,47.5707,-122.12799999999999,2820,9375,10,2
371,205000.0,3,1610,8579,0,0,4,7,1010,600,1962,1962,98058,47.4563,-122.171,1610,8579,4,2
348,420000.0,3,1060,8097,0,0,4,7,940,120,1923,1923,98133,47.7144,-122.351,1560,7940,4,2
301,500000.0,4,2030,8517,0,0,4,8,1380,650,1961,1961,98006,47.5495,-122.17399999999999,2230,8824,9,2
215,921500.0,4,3670,315374,0,0,4,9,3670,0,1994,1994,98077,47.7421,-122.02600000000001,2840,87991,10,4
54,890000.0,4,2550,4000,0,0,3,8,2370,180,1905,1905,98109,47.6354,-122.353,2200,4000,4,4
181,258000.0,5,2260,12500,0,0,4,8,1130,1130,1960,1960,98032,47.3887,-122.286,1360,18000,8,2
186,511000.0,3,1430,3455,0,0,3,7,980,450,1947,1947,98103,47.6873,-122.336,1450,4599,4,2
110,532170.0,3,1360,3090,0,0,3,8,1360,0,1990,1990,98103,47.6838,-122.353,1500,3090,8,4
342,560000.0,3,1110,5000,0,0,3,7,1110,0,1947,1947,98107,47.655,-122.359,1420,5000,4,3
333,282950.0,3,1250,8200,0,0,4,7,1250,0,1954,1954,98003,47.3255,-122.304,1680,8633,4,2
334,2250000.0,4,5180,19850,0,3,3,12,3540,1640,2006,2006,98006,47.562,-122.162,3160,9750,13,4
14,350000.0,1,700,5100,0,0,3,7,700,0,1942,1942,98115,47.678999999999995,-122.3,1010,5100,4,2
87,215000.0,3,1180,7669,0,0,4,7,1180,0,1967,1967,98058,47.4479,-122.176,1190,7669,4,2
202,650000.0,5,3960,25245,0,0,3,9,2500,1460,1996,1996,98056,47.525,-122.17200000000001,2640,13675,14,4
97,320000.0,4,2640,7500,0,0,3,8,1620,1020,1967,1967,98023,47.3135,-122.369,1980,7875,11,2
195,247000.0,3,1270,7198,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.99600000000001,1160,7198,8,3
154,320000.0,4,1760,11180,0,0,4,8,1760,0,1968,1968,98059,47.4715,-122.118,1730,11180,7,2
5,255000.0,5,2060,8632,0,0,3,7,1030,1030,1962,1962,98146,47.4877,-122.335,1010,11680,9,2
311,438000.0,3,1780,9660,0,0,3,7,1780,0,1962,1962,98034,47.7171,-122.193,1200,9660,7,2
306,900000.0,3,3400,16603,0,0,3,10,3400,0,2000,2000,98075,47.6012,-122.023,3400,12601,10,4
49,441000.0,3,1910,7280,0,0,3,7,1160,750,1979,1979,98034,47.7319,-122.22399999999999,1710,8152,11,2
102,420000.0,3,2020,38332,0,0,4,7,1010,1010,1975,1975,98027,47.4582,-122.023,2110,36590,8,2
220,370000.0,3,1580,7000,0,0,3,7,1180,400,1976,1976,98034,47.7209,-122.16799999999999,1640,7500,7,2
293,269950.0,2,1340,7250,0,0,5,5,700,640,1949,1949,98198,47.408,-122.32700000000001,1830,9750,7,2
326,807100.0,4,2680,4499,0,0,3,9,2680,0,1999,1999,98006,47.565,-122.125,2920,4500,10,4
34,653000.0,3,2680,9750,0,0,4,8,1610,1070,1979,1979,98034,47.7028,-122.23100000000001,2480,8750,10,2
40,371500.0,3,1370,8336,0,0,5,7,1370,0,1964,1964,98133,47.7458,-122.331,1770,7288,8,2
318,284000.0,3,1560,21000,0,0,3,7,1560,0,1954,1954,98166,47.4776,-122.337,1070,7920,7,2
245,272000.0,3,2160,7140,0,0,4,7,1670,490,1978,1978,98023,47.3026,-122.374,1930,7350,7,2
0,313000.0,3,1340,7912,0,0,3,7,1340,0,1955,1955,98133,47.7658,-122.339,1480,7940,6,3
259,917500.0,4,3880,35003,0,0,3,10,2570,1310,1984,1984,98033,47.6477,-122.182,3740,35230,10,4
150,673000.0,4,2590,8190,0,0,4,8,2590,0,1980,1980,98006,47.5619,-122.125,2260,8335,9,4
284,425000.0,3,1120,1100,0,0,3,8,820,300,2008,2008,98122,47.6106,-122.31,1590,1795,10,4
68,399950.0,5,1970,5400,0,0,3,7,1320,650,1986,1986,98144,47.5868,-122.30799999999999,1280,2150,11,2
28,385000.0,3,1220,4800,0,0,3,6,1220,0,1901,1901,98122,47.6101,-122.307,1200,4800,4,2
199,269950.0,3,1950,7560,0,2,4,7,1320,630,1975,1975,98022,47.1976,-121.999,1950,8941,6,2
250,330000.0,2,1350,8220,0,0,3,7,1060,290,1949,1949,98177,47.7224,-122.35799999999999,1540,8280,4,2
84,260000.0,3,1670,5797,0,0,3,7,1670,0,1988,1988,98030,47.3505,-122.179,1670,6183,10,4
347,470000.0,4,2380,5125,0,0,4,7,1680,700,1925,1925,98126,47.5384,-122.376,1410,5375,12,3
42,589000.0,4,2440,9600,0,0,5,7,2440,0,1961,1961,98034,47.7044,-122.2,2290,9600,12,4
82,163500.0,2,1050,3419,0,0,3,7,1050,0,1996,1996,98038,47.3848,-122.039,1050,3417,6,4
126,835000.0,4,3130,13412,0,0,3,9,2140,990,1993,1993,98052,47.6993,-122.102,2260,9984,11,4
203,1100000.0,5,4090,12850,0,2,4,10,2090,2000,1986,1986,98033,47.6627,-122.18799999999999,2540,10270,12,2
348,269000.0,4,1490,10000,0,0,4,8,1100,390,1969,1969,98023,47.3099,-122.37899999999999,2190,8910,7,2
3,560000.0,3,1900,8744,0,0,3,8,1900,0,1987,1987,98074,47.62,-122.04299999999999,2030,8744,10,4
351,615000.0,4,1330,2400,0,0,4,6,1330,0,1901,1901,98103,47.65,-122.34,1330,4400,4,3
217,585188.0,3,2230,10026,0,0,3,8,1430,800,1975,1975,98052,47.6647,-122.15299999999999,2230,9340,9,2
108,305000.0,3,1650,9480,0,0,3,7,1220,430,1977,1977,98034,47.726000000000006,-122.191,1540,8400,7,2
187,166950.0,3,1190,8820,0,0,3,6,1190,0,1959,1959,98058,47.4616,-122.184,1230,7980,4,2
133,799000.0,3,2140,9897,0,0,4,8,2140,0,1959,1959,98040,47.5505,-122.219,2680,10083,10,2
54,400000.0,3,2180,7508,0,0,4,7,1420,760,1962,1962,98133,47.7606,-122.336,1900,7818,10,2
213,230000.0,3,1060,10228,0,0,3,7,1060,0,1948,1948,98155,47.7481,-122.3,1570,10228,4,2
13,256883.0,3,1690,5025,0,0,3,8,1690,0,2003,2003,98023,47.2779,-122.34700000000001,2550,5001,10,4
193,423000.0,4,1970,6480,0,0,5,7,1130,840,1920,1920,98108,47.5511,-122.31200000000001,1500,6480,8,3
82,465000.0,3,2150,4084,0,0,3,8,2150,0,2007,2007,98126,47.5488,-122.37200000000001,1750,2385,10,4
256,440000.0,3,1910,66211,0,0,3,7,1910,0,1997,1997,98024,47.5385,-121.911,2330,67268,10,4
165,385000.0,3,1350,155073,0,0,4,7,1350,0,1969,1969,98038,47.4058,-121.994,1560,50965,7,2
313,210000.0,3,860,11725,0,0,4,6,860,0,1943,1943,98056,47.5093,-122.184,1300,9514,4,2
194,297000.0,3,1940,14952,0,0,3,8,1940,0,1994,1994,98042,47.3777,-122.165,2030,10450,10,4
75,470000.0,3,1010,5000,0,0,3,7,1010,0,1952,1952,98107,47.675,-122.39399999999999,1680,5000,4,2
94,226500.0,3,1300,7370,0,0,4,7,900,400,1976,1976,98023,47.3025,-122.37,1430,7500,6,2
305,274250.0,3,910,8450,0,0,4,6,910,0,1962,1962,98059,47.4787,-122.15799999999999,1400,8040,4,2
94,840000.0,4,2480,11010,0,0,4,9,1630,850,1966,1966,98040,47.5378,-122.219,2770,10744,7,2
140,677900.0,3,2440,4587,0,0,3,8,2440,0,2010,2010,98052,47.7073,-122.11399999999999,2750,4587,10,4
279,425000.0,3,1010,5864,0,0,3,7,1010,0,1915,1915,98116,47.5733,-122.381,1290,5000,4,2
205,180250.0,2,900,9600,0,0,3,6,900,0,1941,1941,98166,47.4604,-122.339,1250,14280,3,2
76,464000.0,6,2300,3404,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.34299999999999,1560,1312,12,4
355,320000.0,4,1550,7579,0,0,3,8,1550,0,1993,1993,98038,47.354,-122.04700000000001,1630,6397,9,4
76,625504.0,3,1270,1566,0,0,3,8,1060,210,2014,2014,98105,47.6647,-122.28399999999999,1160,1327,9,4
13,592500.0,4,2240,12032,0,0,3,9,2240,0,1983,1983,98074,47.6143,-122.01700000000001,2520,12368,10,2
257,465000.0,3,2714,17936,0,0,3,9,2714,0,2005,2005,98001,47.3185,-122.275,2590,18386,10,4
25,477000.0,4,1720,6270,0,0,3,8,1720,0,1978,1978,98118,47.5458,-122.26799999999999,2130,8700,11,4
258,280000.0,2,850,16400,0,0,3,6,850,0,1923,1923,98168,47.4889,-122.29899999999999,1100,14459,4,2
295,1510000.0,5,3300,33474,0,3,3,9,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953,12,2
62,445838.0,3,2250,5692,0,0,3,8,2250,0,2000,2000,98146,47.5133,-122.37899999999999,1320,5390,10,4
118,1070000.0,2,3900,14864,0,3,3,8,1950,1950,1947,1947,98144,47.5884,-122.291,2580,5184,9,2
174,467000.0,2,1320,10800,0,0,4,8,1320,0,1947,1947,98177,47.7145,-122.367,2120,12040,6,2
112,686000.0,4,2760,6440,0,0,3,10,2760,0,1999,1999,98075,47.5836,-122.02600000000001,3070,8127,10,4
34,279950.0,3,1750,9750,0,0,3,7,1350,400,1961,1961,98198,47.398,-122.29899999999999,1900,10125,8,2
125,527000.0,4,2330,19436,0,0,3,8,2330,0,1987,1987,98011,47.7663,-122.215,1910,10055,9,4
139,325000.0,3,2220,16020,0,0,4,8,1780,440,1966,1966,98030,47.3758,-122.21700000000001,2080,9583,9,2
124,328000.0,3,2020,8379,0,0,3,7,2020,0,1994,1994,98038,47.3828,-122.023,2020,8031,9,4
33,390000.0,3,1250,7500,0,0,5,7,1250,0,1942,1942,98146,47.5123,-122.37299999999999,1280,7392,9,2
311,479950.0,2,1510,6516,0,0,3,8,1510,0,2005,2005,98053,47.7076,-122.01299999999999,1640,6009,8,2
27,264950.0,4,1720,9753,0,0,4,7,1120,600,1978,1978,98023,47.2922,-122.37100000000001,1510,9753,9,2
258,235000.0,3,1430,15246,0,0,4,7,980,450,1961,1961,98031,47.4075,-122.214,1960,13068,4,2
305,516500.0,3,1480,4729,0,0,3,7,1480,0,2004,2004,98053,47.6794,-122.03399999999999,2250,4729,10,4
346,655000.0,2,1450,15798,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193,7,4
45,500000.0,4,2280,15347,0,0,5,7,2280,0,1960,1960,98059,47.5218,-122.164,2280,15347,11,2
203,315000.0,6,2940,7350,0,0,3,8,1780,1160,1978,1978,98023,47.3103,-122.339,2120,8236,11,2
202,213000.0,2,1000,10200,0,0,3,6,1000,0,1961,1961,98024,47.5687,-121.899,1150,13702,4,2
123,475000.0,3,2480,5280,0,0,5,7,1620,860,1947,1947,98108,47.5575,-122.303,2090,4800,6,3
39,1030000.0,5,3760,28040,0,0,3,10,3760,0,1983,1983,98033,47.6489,-122.18299999999999,3430,35096,16,4
342,416000.0,3,2220,94300,0,0,5,7,1640,580,1976,1976,98010,47.3459,-121.95,2070,80100,8,2
322,410000.0,4,1970,4740,0,0,3,7,1670,300,1904,2005,98122,47.6136,-122.303,1510,4740,4,3
27,472000.0,6,4410,14034,0,2,4,9,2350,2060,1965,1965,98003,47.3376,-122.324,2600,13988,10,2
